ID,FN,LN,CT,ST,ZP,S1,S2,EM,BD
0,Amara,Tucker,"PUMPKIN CTR",CA,93313,"1449 Ninth Lane","Apt #154",Amara.Tucker@earthlink.net,
1,Lucia,Dam,ALLENDALE,WY,82609,"7117 Peppermint Lane",,Lucia_Dam@myself.com,
2,Laksh,Rollins,HYATTSTOWN,MD,20871,"6692 Slippery Elm Alley",,Laksh_Rollins@myself.com,11/19/1991
3,Callie,Hurston,BOELUS,NE,68820,"5416 Hoopoe Alley","Apt #218",CHurston@comcast.net,3/24/1973
4,Caleb,Ganguly,LYNDON,KY,40242,"3667 Hen Drive",,Caleb_Ganguly@myself.com,11/9/1991
5,Jaxon,Vargas,"HANSEN HILLS",CA,91331,"3098 Crocus Circle",,JVargas@post.com,
6,Rosalie,Bright,DIXON,IL,61021,"2140 Powder Puff Court",,RBright@aol.com,5/2/1954
7,Leah,Kao,WAYNESFIELD,OH,45896,"8363 Poinsettia Lane",,Leah_Kao@comcast.net,8/2/1951
8,Albert,MacDonald,AUSTIN,TX,78753,"904 Ladys Slipper Drive",,AMacDonald@earthlink.net,5/10/2004
9,Archer,Yamamoto,HUNTINGTON,WV,25702,"1176 Blue Mountain Loop",,Archer.Yamamoto@yahoo.com,
10,Alma,Gray,"JERSEY VLG",TX,77064,"8662 Bluebell Court",,Alma.Gray@myself.com,
11,Juniper,Dasgupta,"LITTLE ROCK AFB",AR,72076,"4305 Gray Birch Alley",,JDasgupta@usa.com,1/20/1967
12,Hem,Menasinkai,MALCOLM,NE,68402,"6631 Narcissus Street",,Hem_Menasinkai@yahoo.com,
13,Anushka,Lincoln,WISHEK,ND,58495,"2651 Dawn Way","Apt #136",Anushka.Lincoln@contractor.net,
14,Brooklyn,Monson,"VIRGINIA BEACH",VA,23452,"6361 Maryland Circle","Apt #177",Brooklyn_Monson@gmail.com,
15,Elizabeth,Evans,CLINTONVILLE,NY,12924,"9424 Cosmos Court",,Elizabeth.Evans@aol.com,1/7/1981
16,Marvin,Baker,"VIGO PARK",TX,79088,"3505 South Dakota Road",,Marvin.Baker@hotmail.com,10/23/1951
17,Delia,Martin,PLANTATION,FL,33388,"2890 Princeton Street",,DMartin@techie.com,12/21/1964
18,Valentina,Allred,WILSON,TX,79381,"8472 Ranier Cherry Drive",,Valentina_Allred@techie.com,3/21/1967
19,Alonzo,Hansen,"EAGLE HARBOR",MD,20608,"5812 Petunia Street",,Alonzo_Hansen@techie.com,10/26/1989
20,Helena,Higgins,CAMILLUS,NY,13031,"9048 Arizona Court","Apt #217",HHiggins@aol.com,
21,Beatrice,Chen,ORIENT,WA,99160,"9162 Wild Goose Loop",,BChen@post.com,12/7/1994
22,Alvin,Ong,"CHESTNUT RIDGE",NY,10977,"5033 Lotus Loop",,Alvin_Ong@aol.com,3/12/1974
23,Phillip,McClury,"MONTGOMERY CY",MO,63361,"362 Alabama Street",,PMcClury@earthlink.net,10/24/1973
24,Mehar,Roberts,GILBERTON,PA,17934,"5188 Banyan Loop",,Mehar_Roberts@usa.com,5/19/1978
25,Nathaniel,Harmon,DENVER,CO,80205,"7035 Touch Me Not Way",,Nathaniel.Harmon@aol.com,8/6/1980
26,Homer,Harmon,WODEN,IA,50484,"1900 Snowdrop Loop",,Homer_Harmon@earthlink.net,
27,Sarthak,Sullivan,GREENSBURG,KS,67054,"9236 Parsley Drive",,Sarthak.Sullivan@aol.com,
28,Alina,Bronte,"NORTH SPRINGFIELD",VA,22151,"6121 Magnolia Road",,Alina_Bronte@comcast.net,1/7/1968
29,Oscar,Ghosh,FERDINAND,ID,83526,"694 Lilac Drive",,Oscar.Ghosh@hotmail.com,4/17/1992
30,Wiley,Lim,TONOPAH,NV,89049,"4456 Cockatiel Drive",,WLim@yahoo.com,10/8/1948
31,Rosa,Hunasimarad,BURKESVILLE,KY,42717,"9725 Crocus Lane",,Rosa.Hunasimarad@suddenlink.net,5/10/1955
32,Drishti,Liang,"CRAB ORCHARD",NE,68332,"6851 Pelican Street",,DLiang@myself.com,8/20/1953
33,Everly,Reilly,OSCEOLA,MO,64776,"5691 Winterberry Avenue","Apt #127",Everly_Reilly@earthlink.net,4/24/1984
34,Landon,Williamson,RANGE,AL,36473,"1749 Impatiens Circle","Apt #235",LWilliamson@post.com,10/23/1974
35,Sai,Chao,"LAKE ARTHUR",NM,88253,"2897 Cockatoo Road",,Sai.Chao@contractor.net,
36,Silas,Kato,ALEXANDRIA,MN,56308,"9373 Sir Galahad Street",,Silas.Kato@hotmail.com,3/20/1947
37,Bertie,Kage,YADKINVILLE,NC,27055,"2679 Black Locust Circle","Apt #107",BKage@iname.com,
38,Joshua,Higgins,COPAN,OK,74022,"2130 Hibiscus Lane",,Joshua.Higgins@mail.com,
39,Roy,Yates,MONTEZUMA,IN,47862,"4278 Marguerite Daisy Avenue",,RYates@myself.com,
40,Lillian,Lim,LENA,MS,39094,"4749 Flowering Dogwood Avenue",,Lillian_Lim@iname.com,10/26/1958
41,Harvey,Kannoth,BROOKLINE,NH,3033,"4652 Aspen Circle",,Harvey_Kannoth@usa.com,12/20/1971
42,Delia,Infinger,KELSO,ND,58045,"3245 Cassava Alley",,DInfinger@myself.com,
43,Nannie,Yoshida,SYRACUSE,NY,13211,"5910 Coneflower Alley",,Nannie_Yoshida@comcast.net,5/25/1946
44,Gracie,Sanderson,LAFAYETTE,IN,47904,"7849 Connecticut Lane",,GSanderson@iname.com,
45,Sally,Waddie,HERMON,NY,13652,"2557 Nevada Street",,Sally.Waddie@iname.com,12/9/1994
46,Stanley,Lloyd,WAVERLY,AL,36879,"3837 Holly Court",,Stanley_Lloyd@yahoo.com,
47,Hiram,Ali,"SANTA CLARA",CA,95051,"321 Black Locust Avenue","Apt #194",Hiram.Ali@comcast.net,
48,Andrew,Dickens,"BERMUDA DUNES",CA,92203,"8216 Nebraska Drive",,Andrew_Dickens@mail.com,
49,Serenity,Sasaki,"COEYMANS HOLLOW",NY,12046,"7757 Shasta Daisy Alley",,Serenity.Sasaki@mail.com,6/1/1962
50,Kathryn,Gupta,ANNAMORIAH,WV,26141,"2084 Three Stars Alley",,KGupta@iname.com,
51,Noel,Moffit,PULASKI,IA,52584,"8794 Cucumber Way",,Noel_Moffit@usa.com,
